ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016491	GO:0016491	oxidoreductase activity	57/257	482/7956	1.7875302269837e-18	8.02601071915682e-16	6.60445378601347e-16	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Nsdhl/Moxd1/Rdh12/Gpx7/Mtarc2/Scd1/Txndc12/Mgst1/Cyp1a1/Zadh2/Cyp17a1/Mgst3/Pdia6/Ptgr1/Ido1/Cyp4f40/Cyp2b19/Ifi30/Qsox1/Cyp46a1/Cyb561d2/Cyp3a16/Hmox2/Smox/Adh6b/Hsd11b1/Gsta4/Cyp2u1/Aifm2/Cyp2j13/Nxn/Cygb/Gsto2/Xdh/Cyp3a59/Rdh1/Frrs1/Aloxe3/Haao/Gsto1/Sqor/Cyp3a44/Kdm8/Vat1l/Pdia5/Glyr1/Frrs1/Sord/Pdia3/Cyp2d40/P4hb/Hsd17b14/Aldh2	57
GO:0008395	GO:0008395	steroid hydroxylase activity	13/257	32/7956	6.20068254054499e-12	9.28035486901566e-10	7.63663007625014e-10	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Cyp2b19/Cyp46a1/Cyp3a16/Cyp2u1/Cyp2j13/Cyp3a59/Cyp3a44	13
GO:0016712	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	13/257	32/7956	6.20068254054499e-12	9.28035486901566e-10	7.63663007625014e-10	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp4f40/Cyp2b19/Cyp3a16/Hmox2/Cyp2u1/Cyp2j13/Cyp3a59/Cyp3a44	13
GO:0020037	GO:0020037	heme binding	18/257	77/7956	2.40632583467682e-11	2.47536705669039e-09	2.03693315413979e-09	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Ido1/Cyp2b19/Cyp46a1/Cyb561d2/Cyp3a16/Hmox2/Cyp2u1/Hebp2/Cyp2j13/Cygb/Ngb/Cyp2d40	18
GO:0004497	GO:0004497	monooxygenase activity	17/257	68/7956	2.75653347070199e-11	2.47536705669039e-09	2.03693315413979e-09	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Moxd1/Cyp1a1/Cyp17a1/Cyp4f40/Cyp2b19/Cyp46a1/Cyp3a16/Hmox2/Cyp2u1/Cyp2j13/Cyp3a59/Cyp3a44/Cyp2d40	17
GO:0016705	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	20/257	105/7956	9.9163036901979e-11	7.32791822571783e-09	6.03000655779383e-09	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Moxd1/Scd1/Cyp1a1/Cyp17a1/Cyp4f40/Cyp2b19/Cyp46a1/Cyp3a16/Hmox2/Cyp2u1/Cyp2j13/Cyp3a59/Cyp3a44/Kdm8/Cyp2d40/P4hb	20
GO:0046906	GO:0046906	tetrapyrrole binding	18/257	84/7956	1.14243713986692e-10	7.32791822571783e-09	6.03000655779383e-09	Cyp2g1/Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp17a1/Ido1/Cyp2b19/Cyp46a1/Cyb561d2/Cyp3a16/Hmox2/Cyp2u1/Hebp2/Cyp2j13/Cygb/Ngb/Cyp2d40	18
GO:0005506	GO:0005506	iron ion binding	18/257	88/7956	2.58731768668353e-10	1.45213205165113e-08	1.19493224740253e-08	Cyp3a25/Cyp3a41a/Cyp3a11/Scd1/Cyp1a1/Cyp17a1/Calr/Cyp2b19/Cyp46a1/Cyp3a16/Cyp2u1/Cygb/Xdh/Cyp3a59/Aloxe3/Haao/Cyp3a44/Dnajc24	18
GO:0101021	GO:0101021	estrogen 2-hydroxylase activity	7/257	10/7956	3.73991597492685e-09	1.86580252526906e-07	1.53533392654892e-07	Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp2b19/Cyp3a59/Cyp3a44	7
GO:0070330	GO:0070330	aromatase activity	8/257	15/7956	5.62867460312917e-09	2.527274896805e-07	2.07964714284036e-07	Cyp3a25/Cyp3a41a/Cyp3a11/Cyp1a1/Cyp2b19/Cyp3a16/Cyp3a59/Cyp3a44	8
GO:0051787	GO:0051787	misfolded protein binding	8/257	18/7956	3.5171685106449e-08	1.43564423752687e-06	1.18136473419748e-06	Derl1/Hspa5/Hspa1b/Derl2/Dnajc3/Hspa8/Derl2/Hspa13	8
GO:0005496	GO:0005496	steroid binding	12/257	51/7956	5.16898460359248e-08	1.93406173917752e-06	1.591503154264e-06	Cyp3a25/Cyp3a41a/Cyp3a11/Vdr/Nr1h4/Hsd11b1/Apod/Cyp3a59/Cyp3a44/Ugt1a7c/Ugt1a10/Gstm1	12
