ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034663	GO:0034663	endoplasmic reticulum chaperone complex	6/254	12/8052	7.32047318154442e-07	9.06921333200916e-05	8.19652454248569e-05	Hyou1/Hspa5/Hsp90b1/Pdia6/Ppib/P4hb	6
GO:0042175	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	31/254	381/8052	9.93696592364913e-07	9.06921333200916e-05	8.19652454248569e-05	Cyp3a41a/Bcap31/Cyp3a11/Moxd1/Derl1/Nus1/Ugt2b34/Scd1/Hspa5/Saraf/Creb3l3/Hsp90b1/Hrc/Derl2/Calr/Tapt1/H13/Aadac/Sec22b/Cyp46a1/Rab1a/Fitm2/Hsd11b1/Dpm3/Derl2/Ebp/Rdh1/Cyp3a44/Spcs2/Stt3a/Pdia3	31
GO:0005790	GO:0005790	smooth endoplasmic reticulum	8/254	27/8052	1.15894788640201e-06	9.06921333200916e-05	8.19652454248569e-05	Hyou1/Hspa5/Hsp90b1/Pdia6/Ppib/Dnajc3/Calr/Pdia3	8
GO:0005789	GO:0005789	endoplasmic reticulum membrane	30/254	365/8052	1.22144287299787e-06	9.06921333200916e-05	8.19652454248569e-05	Cyp3a41a/Bcap31/Cyp3a11/Moxd1/Derl1/Nus1/Scd1/Hspa5/Saraf/Creb3l3/Hsp90b1/Hrc/Derl2/Calr/Tapt1/H13/Aadac/Sec22b/Cyp46a1/Rab1a/Fitm2/Hsd11b1/Dpm3/Derl2/Ebp/Rdh1/Cyp3a44/Spcs2/Stt3a/Pdia3	30
GO:0098827	GO:0098827	endoplasmic reticulum subcompartment	30/254	373/8052	1.91987728615404e-06	0.00011404071079755	0.000103067096414585	Cyp3a41a/Bcap31/Cyp3a11/Moxd1/Derl1/Nus1/Scd1/Hspa5/Saraf/Creb3l3/Hsp90b1/Hrc/Derl2/Calr/Tapt1/H13/Aadac/Sec22b/Cyp46a1/Rab1a/Fitm2/Hsd11b1/Dpm3/Derl2/Ebp/Rdh1/Cyp3a44/Spcs2/Stt3a/Pdia3	30
GO:0140534	GO:0140534	endoplasmic reticulum protein-containing complex	14/254	99/8052	2.33933959693673e-06	0.000115797310048368	0.000104654666178748	Derl1/Hyou1/Hspa5/Hsp90b1/Pdia6/Ppib/Derl2/Calr/H13/Derl2/Spcs2/Stt3a/Pdia3/P4hb	14
GO:0005615	GO:0005615	extracellular space	32/254	428/8052	4.10866863064263e-06	0.000174324940471552	0.000157550451250206	Prss42/Serpinb1a/Moxd1/Pon1/Spint3/Manf/Lbp/Prss48/Pdia6/Mmp7/Sdcbp/Calr/Col12a1/Susd2/Qsox1/Col14a1/Plg/Bhmt/Mmp2/Cpa2/Cd109/Apod/Xdh/Hspa8/Wfdc18/Myoc/Wfikkn2/Cstb/Glipr1l1/Sord/Pdia3/Kcp	32
GO:0030176	GO:0030176	integral component of endoplasmic reticulum membrane	13/254	91/8052	4.81659442440425e-06	0.000178816068006008	0.000161609418187248	Derl1/Scd1/Hspa5/Saraf/Derl2/Calr/Tapt1/H13/Fitm2/Hsd11b1/Dpm3/Derl2/Pdia3	13
GO:0031227	GO:0031227	intrinsic component of endoplasmic reticulum membrane	13/254	95/8052	7.83469941053027e-06	0.000258545080547499	0.000233666473647394	Derl1/Scd1/Hspa5/Saraf/Derl2/Calr/Tapt1/H13/Fitm2/Hsd11b1/Dpm3/Derl2/Pdia3	13
GO:0016324	GO:0016324	apical plasma membrane	15/254	150/8052	7.26316273541626e-05	0.00215715933241863	0.00194958578687489	Slc3a1/Abcb1b/Plpp1/Slc22a18/Myo7a/Abcb1a/Cyp4f40/Abcg2/Slc46a1/Gpr143/Abcc4/Abcg2/Pdia3/Rab17/Slc5a8	15
GO:0045177	GO:0045177	apical part of cell	18/254	209/8052	0.000101040893019232	0.00272810411151927	0.00246559116936883	Slc3a1/Mgst1/Abcb1b/Plpp1/Slc22a18/Myo7a/Abcb1a/Cyp4f40/Abcg2/Hsd11b1/Slc46a1/Gpr143/Abcc4/Abcg2/Fabp2/Pdia3/Rab17/Slc5a8	18
GO:0042470	GO:0042470	melanosome	6/254	27/8052	0.000157344408537241	0.00359471456427388	0.00324881167425072	Myo7a/Rab32/Rab1a/Gpr143/Ankrd27/Rab17	6
GO:0048770	GO:0048770	pigment granule	6/254	27/8052	0.000157344408537241	0.00359471456427388	0.00324881167425072	Myo7a/Rab32/Rab1a/Gpr143/Ankrd27/Rab17	6
