ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006457	GO:0006457	protein folding	21/251	108/7982	1.30997602816872e-11	3.64566328639356e-08	3.48453623492881e-08	Cryab/Tbcd/Tbcc/Tbce/Hspa5/Hspa1b/Hsp90b1/Ppib/Dnajc3/Calr/Hspb1/Arl2/Tbca/Qsox1/Dnajb1/Hspa8/Mesd/Hspa13/Pdia5/Pdia3/P4hb	21
GO:0006805	GO:0006805	xenobiotic metabolic process	15/251	54/7982	5.54712585333977e-11	7.71882562492229e-08	7.37767738494189e-08	Cyp2g1/Cyp1a1/Cyp2b19/Ugt1a6a/Cyp46a1/Gsta4/Cyp2u1/Cyp2j13/Gsto2/Nceh1/Gsto1/Ugt1a7c/Ugt1a10/Ugt1a6b/Gstm1	15
GO:0009410	GO:0009410	response to xenobiotic stimulus	23/251	162/7982	1.02897447416243e-09	9.54545320531345e-07	9.12357367090685e-07	Cyp2g1/Fos/Mgst1/Cyp1a1/Abcb1b/Nr1h4/Mmp7/Abcb1a/Cyp2b19/Ugt1a6a/Atp1a3/Cyp46a1/Gsta4/Cyp2u1/Cyp2j13/Mmp2/Gsto2/Nceh1/Gsto1/Ugt1a7c/Ugt1a10/Ugt1a6b/Gstm1	23
GO:0071466	GO:0071466	cellular response to xenobiotic stimulus	16/251	80/7982	2.53063674580612e-09	1.76069051589461e-06	1.68287343596107e-06	Cyp2g1/Cyp1a1/Nr1h4/Cyp2b19/Ugt1a6a/Cyp46a1/Gsta4/Cyp2u1/Cyp2j13/Gsto2/Nceh1/Gsto1/Ugt1a7c/Ugt1a10/Ugt1a6b/Gstm1	16
GO:0035967	GO:0035967	cellular response to topologically incorrect protein	15/251	71/7982	3.63272374957339e-09	1.87609154663156e-06	1.79317409775061e-06	Abcb10/Derl1/Hspb8/Hspa5/Creb3l3/Hspa1b/Pdia6/Derl2/Dnajc3/Eif2s1/Hspa8/Derl2/Hspa13/Rnf185/Ube2w	15
GO:0035966	GO:0035966	response to topologically incorrect protein	17/251	94/7982	4.04475360394875e-09	1.87609154663156e-06	1.79317409775061e-06	Abcb10/Derl1/Manf/Hspb8/Hspa5/Creb3l3/Hspa1b/Pdia6/Derl2/Dnajc3/Hspb1/Eif2s1/Hspa8/Derl2/Hspa13/Rnf185/Ube2w	17
GO:0034620	GO:0034620	cellular response to unfolded protein	13/251	57/7982	1.53876497909328e-08	6.117689909738e-06	5.84730692055447e-06	Abcb10/Derl1/Hspb8/Hspa5/Creb3l3/Hspa1b/Pdia6/Derl2/Dnajc3/Eif2s1/Hspa8/Derl2/Hspa13	13
GO:0006986	GO:0006986	response to unfolded protein	15/251	80/7982	2.04548308249599e-08	7.11572427323294e-06	6.80123124929918e-06	Abcb10/Derl1/Manf/Hspb8/Hspa5/Creb3l3/Hspa1b/Pdia6/Derl2/Dnajc3/Hspb1/Eif2s1/Hspa8/Derl2/Hspa13	15
GO:0008202	GO:0008202	steroid metabolic process	21/251	172/7982	8.51888424748711e-08	2.63422831786185e-05	2.51780356647952e-05	Cyp3a25/Cyp3a41a/Cyp3a11/Nsdhl/Pon1/Scd1/Cyp1a1/Cyp17a1/Cebpa/Nr1h4/Cyp2b19/Cyp46a1/Cyp3a16/Hsd11b1/Cyp3a59/Ebp/Rdh1/Cyp3a44/Ugt1a7c/Ephx2/Hsd17b14	21
GO:0070989	GO:0070989	oxidative demethylation	6/251	11/7982	3.68807446623537e-07	0.00010263911239533	9.81027808018608e-05	Cyp3a25/Cyp3a41a/Cyp3a11/Cyp3a16/Cyp3a59/Cyp3a44	6
GO:0120254	GO:0120254	olefinic compound metabolic process	13/251	76/7982	5.63261254515544e-07	0.000142505097392433	0.000136206812455577	Cyp2g1/Rdh12/Cyp1a1/Cyp17a1/Cyp4f40/Cyp2b19/Cyp46a1/Adh6b/Cyp2u1/Cyp2j13/Rdh1/Aloxe3/Ephx2	13
GO:0033559	GO:0033559	unsaturated fatty acid metabolic process	11/251	55/7982	8.39207926030786e-07	0.000194626304845307	0.000186024423603491	Cyp2g1/Hpgds/Ces2g/Scd1/Ptgr1/Cyp4f40/Cyp2b19/Cyp2u1/Cyp2j13/Aloxe3/Ephx2	11
GO:0034976	GO:0034976	response to endoplasmic reticulum stress	18/251	156/7982	1.70829220004345e-06	0.000365705937901609	0.000349542865547352	Bcap31/Derl1/Manf/Txndc12/Hyou1/Hspa5/Creb3l3/Hsp90b1/Pdia6/Derl2/Dnajc3/Calr/H13/Eif2s1/Derl2/Rnf185/Pdia3/P4hb	18
GO:0140115	GO:0140115	export across plasma membrane	8/251	31/7982	3.60196712488403e-06	0.000716019607753732	0.000684373753727965	Abcb1b/Slc22a18/Abcb1a/Abcg2/Atp1a3/Abcc4/Calm1/Abcg2	8
GO:0046618	GO:0046618	xenobiotic export	5/251	10/7982	6.54467990971989e-06	0.00121425627925003	0.00116058990399033	Abcb1b/Slc22a18/Abcb1a/Abcg2/Abcg2	5
GO:0070988	GO:0070988	demethylation	7/251	25/7982	8.27532776144194e-06	0.00143938982250581	0.00137577324033972	Cyp3a25/Cyp3a41a/Cyp3a11/Cyp3a16/Cyp3a59/Cyp3a44/Kdm8	7
GO:0098754	GO:0098754	detoxification	8/251	35/7982	9.6351979192015e-06	0.00157733857700811	0.00150762508618094	Rdh12/Mtarc2/Abcb1b/Slc22a18/Abcb1a/Abcg2/Abcg2/Aldh2	8
GO:0006690	GO:0006690	icosanoid metabolic process	10/251	58/7982	1.09066006739096e-05	0.00168512792491481	0.00161065047799978	Cyp2g1/Hpgds/Ces2g/Mgst3/Ptgr1/Cyp4f40/Cyp2b19/Cyp2u1/Cyp2j13/Aloxe3	10
GO:0009636	GO:0009636	response to toxic substance	11/251	71/7982	1.1504646271427e-05	0.00168512792491481	0.00161065047799978	Pon1/Rdh12/Mtarc2/Cyp1a1/Abcb1b/Slc22a18/Abcb1a/Abcg2/Ephx2/Abcg2/Aldh2	11
GO:0042178	GO:0042178	xenobiotic catabolic process	7/251	28/7982	1.8800031027326e-05	0.00261602431745241	0.00250040412663436	Cyp2g1/Cyp1a1/Cyp2b19/Cyp2u1/Cyp2j13/Gsto1/Gstm1	7
GO:0070633	GO:0070633	transepithelial transport	5/251	13/7982	3.09230035502567e-05	0.0040980342323983	0.00391691378303251	Abcb1b/Abcb1a/Abcg2/Actb/Abcg2	5
GO:0034754	GO:0034754	cellular hormone metabolic process	9/251	55/7982	4.67137708807389e-05	0.00577661029696654	0.00552130197266655	Rdh12/Cyp1a1/Cyp17a1/Cyp46a1/Adh6b/Hsd11b1/Rdh1/Ugt1a7c/Crabp1	9
GO:0030968	GO:0030968	endoplasmic reticulum unfolded protein response	8/251	43/7982	4.77405809666656e-05	0.00577661029696654	0.00552130197266655	Derl1/Hspa5/Creb3l3/Pdia6/Derl2/Dnajc3/Eif2s1/Derl2	8
GO:0051085	GO:0051085	chaperone cofactor-dependent protein refolding	5/251	15/7982	6.85131624689611e-05	0.00794467213129662	0.0075935421736432	Hspa5/Hspa1b/Dnajb1/Hspa8/Hspa13	5
GO:0042908	GO:0042908	xenobiotic transport	6/251	24/7982	7.60924651328755e-05	0.0084706132185917	0.00809623829013796	Abcb1b/Slc22a18/Abcb1a/Abcg2/Abcc4/Abcg2	6
GO:0050892	GO:0050892	intestinal absorption	5/251	16/7982	9.71115447599351e-05	0.0102386135339103	0.00978609845497712	Vdr/Abcb1a/Abcg2/Abcg2/Fabp2	5
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	25/251	350/7982	9.93325783023993e-05	0.0102386135339103	0.00978609845497712	Cyp2g1/Hpgds/Ces2g/Scd1/Cyp1a1/Ptgr1/Nr1h4/Ido1/Cyp4f40/Cyp2b19/Arl2/Ugt1a6a/Adh6b/Faah/Cyp2u1/Cyp2j13/Cygb/Rdh1/Aloxe3/Ugt1a7c/Ephx2/Ugt1a10/Ugt1a6b/Crabp1/Fabp2	25
GO:0006458	GO:0006458	'de novo' protein folding	5/251	19/7982	0.000239248716430217	0.0229596268215618	0.0219448822656682	Hspa5/Hspa1b/Dnajb1/Hspa8/Hspa13	5
GO:0051084	GO:0051084	'de novo' posttranslational protein folding	5/251	19/7982	0.000239248716430217	0.0229596268215618	0.0219448822656682	Hspa5/Hspa1b/Dnajb1/Hspa8/Hspa13	5
GO:0036503	GO:0036503	ERAD pathway	9/251	68/7982	0.000253573583245069	0.0230144323316251	0.0219972655415461	Bcap31/Derl1/Hspa5/Hsp90b1/Derl2/Calr/H13/Derl2/Rnf185	9
GO:0006706	GO:0006706	steroid catabolic process	4/251	11/7982	0.000264628758394539	0.0230144323316251	0.0219972655415461	Cyp46a1/Hsd11b1/Ugt1a7c/Hsd17b14	4
GO:0042026	GO:0042026	protein refolding	4/251	11/7982	0.000264628758394539	0.0230144323316251	0.0219972655415461	Hspa5/Hspa1b/Hspa8/Hspa13	4
GO:0030433	GO:0030433	ubiquitin-dependent ERAD pathway	8/251	56/7982	0.000328585883887695	0.0277107428745289	0.0264860136709475	Bcap31/Derl1/Hspa5/Hsp90b1/Derl2/Calr/Derl2/Rnf185	8
GO:0032527	GO:0032527	protein exit from endoplasmic reticulum	6/251	31/7982	0.000346002160110707	0.0283212944584735	0.0270695807616024	Bcap31/Derl1/Derl2/Sar1a/H13/Derl2	6
GO:0030970	GO:0030970	retrograde protein transport, ER to cytosol	5/251	21/7982	0.000397648046977382	0.0307404031871681	0.0293817723599954	Bcap31/Derl1/Derl2/H13/Derl2	5
GO:1903513	GO:1903513	endoplasmic reticulum to cytosol transport	5/251	21/7982	0.000397648046977382	0.0307404031871681	0.0293817723599954	Bcap31/Derl1/Derl2/H13/Derl2	5
GO:0019369	GO:0019369	arachidonic acid metabolic process	6/251	32/7982	0.000414774848745684	0.0311977947043038	0.0298189485855006	Cyp2g1/Cyp4f40/Cyp2b19/Cyp2u1/Cyp2j13/Aloxe3	6
GO:0061077	GO:0061077	chaperone-mediated protein folding	6/251	33/7982	0.000493771327244821	0.0361622527295352	0.0345639929071375	Hspa5/Hspa1b/Hspb1/Dnajb1/Hspa8/Hspa13	6
GO:0010880	GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	4/251	13/7982	0.000545514403875084	0.0370284533166917	0.0353919101050665	Hrc/Ank2/Gsto1/Calm1	4
GO:0014808	GO:0014808	release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	4/251	13/7982	0.000545514403875084	0.0370284533166917	0.0353919101050665	Hrc/Ank2/Gsto1/Calm1	4
GO:1903514	GO:1903514	release of sequestered calcium ion into cytosol by endoplasmic reticulum	4/251	13/7982	0.000545514403875084	0.0370284533166917	0.0353919101050665	Hrc/Ank2/Gsto1/Calm1	4
GO:0006066	GO:0006066	alcohol metabolic process	16/251	202/7982	0.000605589542427882	0.0401275165851618	0.0383540043537658	Nsdhl/Moxd1/Pon1/Rdh12/Nus1/Cyp1a1/Plpp1/Cebpa/Dhdds/Cyp46a1/Adh6b/Isyna1/Ebp/Rdh1/Ephx2/Sord	16
GO:0033059	GO:0033059	cellular pigmentation	6/251	35/7982	0.000686534609837157	0.0444331585855072	0.0424693502829497	Myo7a/Rab32/Rab1a/Gpr143/Ankrd27/Rab17	6
GO:0060716	GO:0060716	labyrinthine layer blood vessel development	4/251	14/7982	0.000744971037997726	0.0471194181533562	0.0450368854789535	Hes1/Nsdhl/Junb/Plg	4
