""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"blastx"	"blastp"	"GOterms"	"kegg"
"PladumEVm051697"	5.89213553910171	4.27628988203858	287.817125759308	1.48658912211341e-64	5.19399373375204e-60	" ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF_DUGJA ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF_DUGJA"	" ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF_DUGJA ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF3_TAKRU ARF3_TAKRU ARF3_TAKRU ARF1_DICDI ARF1_DICDI"	" GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794 GO:0005794"	" KEGG:tru:101061174 KEGG:tru:101061174 KEGG:tru:101061174 . KEGG:ddi:DDB_G0289173 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:ddi:DDB_G0289173 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:tru:101061174 KEGG:ddi:DDB_G0289173 KEGG:ddi:DDB_G0289173"
"PladumEVm022248"	4.47563137546974	4.68642743818982	280.584550999123	5.60031963753909e-63	9.78347839079892e-59	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0005783 GO:0005783 GO:0016021"	" KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:bta:534212 KEGG:bta:534212 KEGG:mmu:230883"
"PladumEVm016437"	3.57826396218624	3.18213039686846	245.021286283465	3.16145582208167e-55	3.68193683225705e-51	" CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2G1_RAT CP2G1_RAT CP2U1_HUMAN CP2U1_HUMAN CP2G1_RAT"	" CP2J2_HUMAN CP2G1_RAT CP2J2_HUMAN CP2J2_HUMAN CP2J2_HUMAN CP2G1_RAT CP2G1_RAT CP2G1_RAT CP2U1_BOVIN CP2U1_BOVIN CP2G1_RAT"	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" KEGG:hsa:1573 KEGG:rno:25251 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:hsa:1573 KEGG:rno:25251 KEGG:rno:25251 KEGG:rno:25251 KEGG:bta:535227 KEGG:bta:535227 KEGG:rno:25251"
"PladumEVm005722"	3.22479830021333	3.40469682401621	236.32175113775	2.49317807210072e-53	2.17772871652818e-49	" ABCB1_DICDI ABCB1_DICDI ABCB1_DICDI"	" ABCB1_DICDI ABCB1_DICDI ABCB1_DICDI"	" GO:0016021 GO:0016021 GO:0016021"	" KEGG:ddi:DDB_G0293416 KEGG:ddi:DDB_G0293416 KEGG:ddi:DDB_G0293416"
"PladumEVm013553"	5.43195896372003	5.04975316666997	227.799952364081	1.79947622224821e-51	1.2574379945826e-47	" CRYAA_DIDVI . CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_RHEAM CRYAA_DIDVI CRYAA_DIDVI CRYAA_RHEAM"	" . SPEN_DROME . . . . . . . . ."	" GO:0005737 . GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0005737"	" . KEGG:dme:Dmel_CG18497 . . . . . . . . ."
"PladumEVm017982"	6.42780499073187	5.11473988422588	198.608118638962	4.20316795366204e-45	2.44757475221663e-41	" I23O1_RAT I23O1_RAT I23O1_RAT I23O1_RAT . I23O1_RAT I23O1_RAT"	" . . . . . . ."	" GO:0005737 GO:0005737 GO:0005737 GO:0005737 . GO:0005737 GO:0005737"	" KEGG:rno:66029 KEGG:rno:66029 KEGG:rno:66029 KEGG:rno:66029 . KEGG:rno:66029 KEGG:rno:66029"
"PladumEVm040283"	3.13192757834859	4.96132909642437	198.049227591721	5.5660140035208e-45	2.77815661812876e-41	" JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN JDP2_HUMAN ."	" FOS_TETFL FOS_TAKRU FOS_TAKRU FOS_TAKRU FOS_TAKRU FOS_TETFL FOS_TETFL ."	" GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 GO:0000785 ."	" KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 KEGG:hsa:122953 ."
"PladumEVm018416"	3.02784349599546	3.66263905188616	197.397943841633	7.72106075187507e-45	3.37207677012204e-41	" FBX4_BOVIN RL37_ICTPU RL371_DROME RL371_DROME RL371_DROME RL371_DROME"	" FBX4_BOVIN FBX4_BOVIN FBX4_MOUSE . FBX4_BOVIN SKP2_MOUSE"	" GO:0005737 GO:0005840 GO:0022625 GO:0022625 GO:0022625 GO:0022625"	" KEGG:bta:534852 KEGG:bta:534852 KEGG:mmu:106052 KEGG:dme:Dmel_CG9091 KEGG:bta:534852 KEGG:mmu:27401"
"PladumEVm026805"	-3.26184151375915	4.2499069659854	196.135899445114	1.45581230255565e-44	5.65162511544352e-41	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576"	" KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026"
"PladumEVm028923"	3.72341399077126	4.21334752300027	191.878035758342	1.23710549473272e-43	4.32232288804666e-40	" CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL"	" CPNA1_CAEEL CPNA1_CAEEL RGLG4_ARATH CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA1_CAEEL CPNA2_CAEEL CPNA2_CAEEL CPNA1_CAEEL"	" GO:0009925 GO:0009925 GO:0009925 . . . GO:0009925 GO:0009925 GO:0009925 GO:0009925 . . GO:0009925"	" KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:ath:AT1G79380 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_F31D5.3 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_B0228.4 KEGG:cel:CELE_F31D5.3"
