""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"blastx"	"blastp"	"GOterms"	"kegg"
"PladumEVm061919"	-4.8331287186622	6.18850165102868	458.627836114969	9.56090018710044e-102	3.34048291637102e-97	" . . . . . . . . . . . ."	" . . . . . . . . . . . ."	" . . . . . . . . . . . ."	" . . . . . . . . . . . ."
"PladumEVm053942"	-6.4022289341546	4.61449980505082	345.095585564116	4.95640290639066e-77	8.65858805731917e-73	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . PQT3_ARATH . . . . ."	" . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . KEGG:ath:AT4G17410 . . . . ."
"PladumEVm071382"	-3.89093832934421	5.10792351364709	318.682923438131	2.80408291819987e-71	3.26572843596617e-67	" . . . . . . ."	" EST1A_MOUSE . . . EST1A_MOUSE . ."	" . . . . . . ."	" KEGG:mmu:103677 . . . KEGG:mmu:103677 . ."
"PladumEVm026805"	-3.99890590348663	4.2499069659854	269.015298588932	1.86003903608623e-60	1.62469759704542e-56	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN HABP2_HUMAN"	" GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576 GO:0005576"	" KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026 KEGG:hsa:3026"
"PladumEVm058575"	-3.18855537825911	3.21074433217159	248.099831703551	6.74061786059508e-56	4.71020894862663e-52	" . . . . ."	" . . . . ."	" . . . . ."	" . . . . ."
"PladumEVm098962"	-3.43512260717639	3.35757420152536	241.887563580498	1.52454057988798e-54	8.87765388678438e-51	" ."	" ."	" ."	" ."
"PladumEVm097343"	-4.88360810654415	3.39129920427296	238.753742551101	7.35272231067748e-54	3.66995378303943e-50	" . . . . . . ."	" . . . . . . ."	" . . . . . . ."	" . . . . . . ."
"PladumEVm047370"	-3.52787473657837	6.3300446917035	222.310593196612	2.83397479717269e-50	1.23770306798021e-46	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . RIC1_DANRE . . . . . . . . . . RIC1_DANRE . . . . . RIC1_DANRE . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"PladumEVm062880"	-4.32005786619275	5.94777757608854	220.772510604717	6.13593347976021e-50	2.38203755388158e-46	" . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . ."	" . . . . . . . . . . . . . . ."
"PladumEVm070140"	-6.15357501384029	4.74582947024805	213.197877542252	2.75552300463602e-48	9.62752182589779e-45	" . . . ."	" . . . ."	" . . . ."	" . . . ."
"PladumEVm045311"	-4.52300087558499	3.58404685765436	204.240041481354	2.48088792325093e-46	7.87997665004221e-43	" . . . ."	" . . . ."	" . . . ."	" . . . ."
"PladumEVm044890"	3.1797303123976	3.14956976353488	199.942120767282	2.15011877066023e-45	6.26024997734148e-42	" ASL1B_DANRE ASL1B_DANRE ASL1B_DANRE ASL1B_DANRE ASL1B_DANRE"	" ASCL1_MOUSE ASCL1_MOUSE ASCL1_MOUSE ASCL1_MOUSE ASCL1_MOUSE"	" GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634"	" KEGG:mmu:17172 KEGG:mmu:17172 KEGG:mmu:17172 KEGG:mmu:17172 KEGG:mmu:17172"
"PladumEVm038304"	3.26825668073272	1.9697661117675	192.658717711055	8.35624269385261e-44	2.24583664215782e-40	" ASL1A_DANRE ASL1A_DANRE ASL1A_DANRE ASL1A_DANRE ASL1A_DANRE"	" ASL1A_DANRE ASL1A_DANRE ASL1A_DANRE ASL1A_DANRE ASL1A_DANRE"	" GO:0005634 GO:0005634 GO:0005634 GO:0005634 GO:0005634"	" KEGG:dre:30466 KEGG:dre:30466 KEGG:dre:30466 KEGG:dre:30466 KEGG:dre:30466"
"PladumEVm022248"	3.59594618844981	4.68642743818982	191.072224583897	1.85477381387468e-43	4.62885302021196e-40	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE ADCL3_MOUSE NCEH1_BOVIN NCEH1_BOVIN ADCL3_MOUSE"	" GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0016021 GO:0005783 GO:0005783 GO:0016021"	" KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:mmu:230883 KEGG:bta:534212 KEGG:bta:534212 KEGG:mmu:230883"
"PladumEVm086471"	-5.1130741722426	4.04674747730067	178.052916884792	1.28991197129842e-40	3.00454895767969e-37	" . . . ."	" . . . ."	" . . . ."	" . . . ."
"PladumEVm057626"	-3.80541798320071	4.77666507961327	176.71369052157	2.52924468765071e-40	5.52308000886425e-37	" . . . . . . ."	" . . . . . . ."	" . . . . . . ."	" . . . . . . ."
"PladumEVm061353"	-3.45258169527592	7.58683244255108	173.347941726069	1.37398900064253e-39	2.82387068784995e-36	" . . . . . ."	" . . . . . ."	" . . . . . ."	" . . . . . ."
"PladumEVm074405"	-6.95061399709549	1.61870319291848	173.134895889262	1.52935960088967e-39	2.96857194974912e-36	" ."	" ."	" ."	" ."
"PladumEVm092092"	-5.63804325512917	3.16696636643791	169.889253848284	7.82266255950744e-39	1.438505300877e-35	" . . ."	" . . ."	" . . ."	" . . ."
"PladumEVm085757"	-6.57633028235274	2.42268366379949	168.781804017517	1.36533151793792e-38	2.38516589526164e-35	" . . . ."	" . . . ."	" . . . ."	" . . . ."
